																																										
General Info																																										
																																										
Run information																																										
593	G02	Unknown	AcetoPhAssay 15/96	0.561721	429.49	265	11																																			
593	G02	Unknown	AcetoPhAssay 15/96	1.14249	469.36	245	12																																			
593	G02	Unknown	AcetoPhAssay 15/96	0.572325	469.49	265	12																																			
593	G02	Unknown	AcetoPhAssay 15/96	1.19042	509.35	245	13																																			
593	G02	Unknown	AcetoPhAssay 15/96	0.582758	509.49	265	13																																			
593	G02	Unknown	AcetoPhAssay 15/96	1.23995	549.36	245	14																																			
593	G02	Unknown	AcetoPhAssay 15/96	0.593531	549.49	265	14																																			
593	G02	Unknown	AcetoPhAssay 15/96	1.28995	589.36	245	15																																			
593	G02	Unknown	AcetoPhAssay 15/96	0.604355	589.49	265	15																																			
593	G02	Unknown	AcetoPhAssay 15/96	1.33821	629.36	245	16																																			
593	G02	Unknown	AcetoPhAssay 15/96	0.614919	629.49	265	16																																			
593	G02	Unknown	AcetoPhAssay 15/96	1.38763	669.36	245	17																																			
593	G02	Unknown	AcetoPhAssay 15/96	0.625317	669.49	265	17																																			
593	G02	Unknown	AcetoPhAssay 15/96	1.43528	709.36	245	18																																			
593	G02	Unknown	AcetoPhAssay 15/96	0.635716	709.49	265	18																																			
593	G02	Unknown	AcetoPhAssay 15/96	1.48316	749.36	245	19																																			
593	G02	Unknown	AcetoPhAssay 15/96	0.646141	749.49	265	19																																			
593	G02	Unknown	AcetoPhAssay 15/96	1.53093	789.36	245	20																																			
593	G02	Unknown	AcetoPhAssay 15/96	0.655948	789.49	265	20																																			
593	G02	Unknown	AcetoPhAssay 15/96	1.57707	829.36	245	21																																			
593	G02	Unknown	AcetoPhAssay 15/96	0.66581	829.49	265	21																																			
593	H02	Unknown	AcetoPhAssay 16/96	0.61278	37.8	245	1																																			
593	H02	Unknown	AcetoPhAssay 16/96	0.454767	37.94	265	1																																			
593	H02	Unknown	AcetoPhAssay 16/96	0.654276	77.8	245	2																																			
593	H02	Unknown	AcetoPhAssay 16/96	0.464647	77.94	265	2																																			
593	H02	Unknown	AcetoPhAssay 16/96	0.694654	117.8	245	3																																			
593	H02	Unknown	AcetoPhAssay 16/96	0.473772	117.94	265	3																																			
593	H02	Unknown	AcetoPhAssay 16/96	0.736512	157.8	245	4																																			
593	H02	Unknown	AcetoPhAssay 16/96	0.483375	157.94	265	4																																			
593	H02	Unknown	AcetoPhAssay 16/96	0.780247	197.8	245	5																																			
593	H02	Unknown	AcetoPhAssay 16/96	0.493226	197.94	265	5																																			
593	H02	Unknown	AcetoPhAssay 16/96	0.823913	237.8	245	6																																			
593	H02	Unknown	AcetoPhAssay 16/96	0.502774	237.94	265	6																																			
593	H02	Unknown	AcetoPhAssay 16/96	0.870075	277.8	245	7																																			
593	H02	Unknown	AcetoPhAssay 16/96	0.513424	277.94	265	7																																			
593	H02	Unknown	AcetoPhAssay 16/96	0.914457	317.8	245	8																																			
593	H02	Unknown	AcetoPhAssay 16/96	0.523175	317.94	265	8																																			
593	H02	Unknown	AcetoPhAssay 16/96	0.960966	357.8	245	9																																			
593	H02	Unknown	AcetoPhAssay 16/96	0.53351	357.94	265	9																																			
593	H02	Unknown	AcetoPhAssay 16/96	1.00586	397.8	245	10																																			
593	H02	Unknown	AcetoPhAssay 16/96	0.543307	397.94	265	10																																			
593	H02	Unknown	AcetoPhAssay 16/96	1.05063	437.8	245	11																																			
593	H02	Unknown	AcetoPhAssay 16/96	0.553132	437.94	265	11																																			
593	H02	Unknown	AcetoPhAssay 16/96	1.09663	477.8	245	12																																			
593	H02	Unknown	AcetoPhAssay 16/96	0.563253	477.94	265	12																																			
593	H02	Unknown	AcetoPhAssay 16/96	1.1409	517.8	245	13																																			
593	H02	Unknown	AcetoPhAssay 16/96	0.572577	517.94	265	13																																			
593	H02	Unknown	AcetoPhAssay 16/96	1.1845	557.8	245	14																																			
593	H02	Unknown	AcetoPhAssay 16/96	0.58201	557.94	265	14																																			
593	H02	Unknown	AcetoPhAssay 16/96	1.22991	597.8	245	15																																			
